"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"(2016 JP17)","2016-May-08 06:45 ±","12.06/0.03100","12.05/0.03096","11.59","11.58","1.92e+03","23.1","19","APO*"
"(2016 HH19)","2016-May-08 09:01 ±","16.01/0.04113","15.94/0.04095","9.03","9.02","412","26.5","6","AMO*"
"(2016 JC6)","2016-May-08 16:25 ±","12.80/0.03290","12.80/0.03290","5.69","5.68","1.26e+06","21.3","34","ATE*"
"(2016 JX28)","2016-May-08 21:39 ±","14.32/0.03681","14.29/0.03672","10.49","10.48","880","24.6","10","APO*"
"(2016 JG29)","2016-May-09 00:54 ±","4.90/0.01258","4.88/0.01254","14.63","14.62","561","25.4","5","APO*"
"(2016 JQ5)","2016-May-09 09:49 ±","1.57/0.00404","1.57/0.00404","10.07","10.00","3.63e+03","28.1","6","APO*"
"(2016 JE18)","2016-May-11 15:48 ±","9.43/0.02424","9.42/0.02420","8.52","8.51","1.19e+03","26.3","4","APO*"
"(2016 LB2)","2016-May-14 02:36 ±   00:11","13.46/0.03458","13.25/0.03405","18.26","18.26","156","22.6","4","ATE*"
"(2016 JW28)","2016-May-14 12:21 ±","5.56/0.01428","5.53/0.01422","12.40","12.38","465","25.4","4","APO*"
"(2016 JD18)","2016-May-16 23:25 ±","1.63/0.00418","1.63/0.00418","14.86","14.82","5.94e+04","24.6","23","APO*"
"(2016 JH18)","2016-May-17 23:03 ±","13.53/0.03478","13.45/0.03455","6.53","6.52","267","26.1","6","ATE*"
"(2016 GS2)","2016-May-18 02:03 ±","3.40/0.00875","3.40/0.00874","8.01","7.98","6.98e+05","23.0","45","APO*"
"(2016 HF3)","2016-May-18 17:14 ±","8.49/0.02182","8.49/0.02181","7.56","7.55","5.87e+03","24.6","38","AMO*"
"(2016 KH)","2016-May-23 11:24 ±","12.83/0.03296","12.78/0.03284","13.12","13.11","567","24.3","9","APO*"
"(2009 DL46)","2016-May-24 17:59 ±","6.16/0.01583","6.16/0.01583","6.46","6.44","2.03e+07","22.0","67","APO*"
"(2016 HP3)","2016-May-25 10:46 ±","18.26/0.04693","18.26/0.04691","9.33","9.33","4.3e+03","23.7","28","APO*"
"(2016 KO)","2016-May-25 19:04 ±","2.19/0.00562","2.18/0.00561","7.32","7.25","895","26.5","7","ATE*"
"(2016 KJ)","2016-May-27 08:42 ±","7.11/0.01827","7.06/0.01815","20.71","20.71","350","24.8","4","APO*"
"(2016 LS1)","2016-May-27 10:46 ±","12.10/0.03109","12.06/0.03099","5.95","5.93","526","26.3","4","AMO*"
"(2016 LQ)","2016-May-28 01:50 ±   00:01","9.39/0.02413","9.33/0.02398","15.43","15.42","385","25.1","3","APO*"
"(2016 LN)","2016-May-28 22:34 ±","16.15/0.04149","16.10/0.04137","11.92","11.91","714","25.4","4","APO*"
"(2016 LO1)","2016-May-29 01:14 ±","13.79/0.03544","13.72/0.03525","9.26","9.25","334","25.3","5","ATE*"
